Age,Gender,Education Level,Job Title,Years of Experience,Salary
39,Female,Bachelor's,Recruiter,11,70000
45,Male,PhD,Research Director,16,190000
28,Male,Bachelor's,Technical Support Specialist,2,40000
42,Female,Master's,Creative Director,14,120000
37,Male,Bachelor's,Project Manager,10,95000
50,Female,Bachelor's,Operations Manager,22,160000
32,Male,Master's,Senior Software Engineer,6,100000
48,Female,Master's,Human Resources Director,20,180000
30,Female,Bachelor's,Content Marketing Manager,3,55000
36,Male,Bachelor's,Technical Recruiter,8,70000
41,Female,Master's,Data Analyst,13,80000
25,Male,Bachelor's,Sales Representative,0,30000
52,Male,PhD,Chief Technology Officer,24,250000
29,Female,Bachelor's,Junior Designer,2,40000
34,Female,Master's,Financial Advisor,10,95000
27,Male,Bachelor's,Junior Account Manager,2,45000
40,Female,Bachelor's,HR Generalist,15,80000
46,Male,Master's,Senior Project Manager,21,135000
31,Female,Bachelor's,Marketing Coordinator,6,55000
36,Male,PhD,Principal Scientist,11,120000
29,Female,Bachelor's,Sales Associate,3,40000
43,Male,Bachelor's,Supply Chain Manager,18,105000
52,Female,Master's,Senior Marketing Manager,25,170000
33,Male,Bachelor's,Business Analyst,7,75000
39,Female,Bachelor's,Training Specialist,12,65000
47,Male,PhD,Research Scientist,22,160000
26,Male,Bachelor's,Junior Software Developer,1,35000
38,Female,Master's,Public Relations Manager,10,90000
45,Male,Bachelor's,Operations Analyst,20,110000
31,Female,Bachelor's,Event Coordinator,5,45000
35,Male,Master's,Product Marketing Manager,8,95000
49,Female,Master's,Senior HR Manager,19,150000
33,Male,Bachelor's,Junior Web Developer,5,50000
39,Female,Master's,Senior Project Coordinator,13,80000
44,Male,PhD,Chief Data Officer,16,220000
30,Female,Bachelor's,Digital Content Producer,3,50000
36,Male,Bachelor's,IT Support Specialist,7,60000
41,Female,Master's,Senior Marketing Analyst,14,100000
28,Male,Bachelor's,Customer Success Manager,2,40000
42,Female,Master's,Senior Graphic Designer,15,110000
37,Male,Bachelor's,Software Project Manager,9,95000
50,Female,Bachelor's,Supply Chain Analyst,22,130000
32,Male,Master's,Senior Business Analyst,6,90000
23,Female,Bachelor's,Junior Marketing Analyst,0,35000
31,Male,Master's,Senior Financial Analyst,6,95000
40,Female,Bachelor's,Office Manager,15,65000
48,Male,PhD,Principal Engineer,20,170000
29,Female,Bachelor's,Junior HR Generalist,3,45000
35,Male,Master's,Senior Product Manager,10,120000
42,Female,Bachelor's,Sales Manager,17,100000
53,Male,Master's,Director of Marketing,25,180000
33,Female,Bachelor's,Junior Operations Analyst,5,50000
38,Male,Bachelor's,Customer Service Manager,11,80000
44,Female,PhD,Senior Scientist,16,140000
26,Male,Bachelor's,Junior Accountant,2,40000
37,Female,Master's,Senior HR Generalist,9,95000
45,Male,Bachelor's,Sales Operations Manager,18,110000
32,Female,Bachelor's,Marketing Coordinator,4,50000
34,Male,Master's,Senior Software Developer,8,105000
50,Female,Master's,Director of Operations,21,160000
29,Male,Bachelor's,Junior Web Designer,3,45000
40,Female,Master's,Senior Training Specialist,12,100000
47,Male,PhD,Senior Research Scientist,22,160000
27,Male,Bachelor's,Junior Sales Representative,1,35000
39,Female,Bachelor's,Administrative Assistant,10,55000
46,Male,Master's,Senior Project Manager,19,140000
30,Female,Bachelor's,Junior Marketing Manager,4,50000
36,Male,Bachelor's,Junior Data Analyst,7,60000
43,Female,Master's,Senior Product Marketing Manager,14,120000
28,Male,Bachelor's,Junior Business Analyst,2,40000
41,Female,Master's,Senior Marketing Manager,13,110000
33,Male,Bachelor's,Junior Software Developer,5,50000
47,Male,Bachelor's,Senior Sales Manager,20,135000
25,Female,Master's,Junior Marketing Specialist,2,40000
34,Male,Bachelor's,Senior Business Analyst,8,90000
42,Female,PhD,Senior Data Scientist,16,150000
31,Male,Bachelor's,Junior Project Manager,4,60000
38,Female,Bachelor's,Senior Accountant,10,80000
45,Male,Master's,Director of Sales,19,175000
29,Female,Bachelor's,Junior Recruiter,3,45000
36,Male,Master's,Senior Business Development Manager,11,120000
43,Female,PhD,Senior Product Designer,18,140000
26,Male,Bachelor's,Junior Customer Support Specialist,2,35000
37,Female,Master's,Senior Marketing Analyst,9,95000
44,Male,Bachelor's,Senior IT Support Specialist,14,110000
32,Female,Bachelor's,Junior Financial Analyst,5,50000
33,Male,Master's,Senior Operations Manager,7,115000
51,Female,PhD,Director of Human Resources,23,185000
28,Male,Bachelor's,Junior Software Engineer,2,40000
39,Female,Bachelor's,Senior Sales Representative,12,90000
48,Male,Master's,Director of Product Management,21,175000
30,Female,Bachelor's,Junior Copywriter,3,45000
35,Male,Bachelor's,Senior Marketing Coordinator,7,80000
41,Female,Master's,Senior Human Resources Manager,13,120000
27,Male,Bachelor's,Junior Business Development Associate,2,35000
40,Female,Bachelor's,Senior Account Manager,14,110000
46,Male,PhD,Senior Researcher,18,150000
31,Female,Bachelor's,Junior HR Coordinator,4,50000
34,Male,Master's,Senior Software Engineer,9,105000
50,Female,Master's,Director of Finance,20,180000
29,Male,Bachelor's,Junior Marketing Coordinator,2,40000
43,Male,Bachelor's,Senior Project Manager,16,140000
26,Female,Master's,Junior Data Scientist,2,45000
35,Male,Bachelor's,Senior Operations Analyst,7,85000
42,Female,PhD,Senior Marketing Manager,18,140000
31,Male,Bachelor's,Junior Accountant,4,50000
38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000
46,Male,Master's,Director of Operations,20,170000
29,Female,Bachelor's,Junior Sales Representative,2,40000
37,Male,Master's,Senior Business Analyst,9,105000
44,Female,PhD,Senior UX Designer,15,145000
27,Male,Bachelor's,Junior Product Manager,2,40000
36,Female,Bachelor's,Senior Marketing Specialist,8,85000
43,Male,Bachelor's,Senior IT Project Manager,14,130000
33,Female,Master's,Senior Financial Analyst,6,95000
34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000
50,Female,PhD,Director of Sales and Marketing,22,180000
28,Male,Bachelor's,Junior Operations Analyst,2,35000
39,Female,Bachelor's,Senior Account Executive,12,95000
47,Male,Master's,Director of Business Development,19,170000
30,Female,Bachelor's,Junior Social Media Manager,3,45000
34,Male,Bachelor's,Senior Product Manager,7,95000
40,Female,Master's,Senior Human Resources Specialist,13,120000
28,Male,Bachelor's,Junior Business Analyst,2,40000
41,Female,Bachelor's,Senior Marketing Coordinator,11,90000
45,Male,PhD,Senior Data Analyst,17,155000
32,Female,Bachelor's,Junior Account Manager,5,55000
35,Male,Master's,Senior Software Developer,9,110000
49,Female,Master's,Director of Human Capital,21,180000
30,Male,Bachelor's,Junior Advertising Coordinator,3,45000
44,Male,Bachelor's,Senior Sales Manager,16,130000
27,Female,Master's,Junior UX Designer,2,45000
36,Male,Bachelor's,Senior Accountant,7,90000
41,Female,PhD,Senior Marketing Director,17,160000
31,Male,Bachelor's,Junior HR Generalist,4,50000
39,Female,Bachelor's,Senior Operations Manager,10,120000
47,Male,Master's,Director of Finance,20,170000
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000
38,Male,Master's,Senior IT Consultant,9,110000
45,Female,PhD,Senior Product Designer,15,150000
28,Male,Bachelor's,Junior Business Development Associate,2,40000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
44,Male,Bachelor's,Senior Software Engineer,14,130000
34,Female,Master's,Senior Financial Advisor,6,100000
35,Male,Bachelor's,Senior Project Coordinator,9,95000
50,Female,PhD,Director of Operations,22,180000
29,Male,Bachelor's,Junior Business Operations Analyst,2,35000
40,Female,Bachelor's,Senior Sales Representative,12,100000
48,Male,Master's,Director of Marketing,19,170000
31,Female,Bachelor's,Junior Social Media Specialist,3,45000
33,Male,Bachelor's,Senior Product Development Manager,7,100000
42,Female,Master's,Senior Human Resources Manager,13,140000
28,Male,Bachelor's,Junior Financial Analyst,2,40000
40,Female,Bachelor's,Senior Marketing Manager,11,105000
46,Male,PhD,Senior Data Scientist,18,160000
33,Female,Bachelor's,Junior Operations Manager,5,70000
37,Male,Master's,Senior Software Architect,9,120000
51,Female,Master's,Director of Human Resources,21,190000
30,Male,Bachelor's,Junior Marketing Specialist,3,45000
43,Male,Bachelor's,Senior Project Manager,15,120000
27,Female,Master's,Junior Research Scientist,2,50000
35,Male,Bachelor's,Senior Operations Analyst,8,85000
42,Female,PhD,Senior Marketing Manager,13,140000
32,Male,Bachelor's,Junior Sales Representative,3,45000
37,Female,Bachelor's,Senior Financial Analyst,9,100000
45,Male,Master's,Senior Software Developer,16,140000
33,Female,Bachelor's,Junior Operations Analyst,5,70000
39,Male,Bachelor's,Senior Marketing Specialist,10,120000
44,Female,PhD,Senior HR Manager,18,160000
29,Male,Bachelor's,Junior Business Analyst,2,40000
38,Female,Bachelor's,Senior Product Manager,10,120000
46,Male,PhD,Senior Data Analyst,19,150000
34,Female,Bachelor's,Junior Marketing Analyst,6,70000
36,Male,Bachelor's,Senior Operations Manager,8,95000
49,Female,Master's,Director of Marketing,21,180000
31,Male,Bachelor's,Junior Financial Analyst,3,50000
41,Female,Bachelor's,Senior Project Coordinator,11,95000
47,Male,Master's,Director of Operations,20,170000
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000
38,Male,Master's,Senior IT Consultant,9,110000
45,Female,PhD,Senior Product Designer,15,150000
28,Male,Bachelor's,Junior Business Development Associate,2,40000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
44,Male,Bachelor's,Senior Software Engineer,14,130000
34,Female,Master's,Senior Financial Advisor,6,100000
35,Male,Bachelor's,Senior Project Coordinator,9,95000
50,Female,PhD,Director of Operations,22,180000
29,Male,Bachelor's,Junior Business Operations Analyst,2,350
37,Female,Bachelor's,Senior Financial Manager,10,120000
46,Male,PhD,Senior Data Scientist,18,160000
31,Female,Bachelor's,Junior Marketing Coordinator,3,50000
42,Male,Bachelor's,Senior Operations Manager,12,110000
29,Female,Bachelor's,Junior Sales Representative,2,40000
36,Male,Bachelor's,Senior Marketing Specialist,8,95000
44,Female,Master's,Senior HR Specialist,15,140000
33,Male,Bachelor's,Junior Operations Manager,4,60000
39,Female,Bachelor's,Senior Marketing Coordinator,9,110000
45,Male,PhD,Senior Data Engineer,16,150000
32,Female,Bachelor's,Junior Marketing Manager,4,60000
37,Male,Bachelor's,Senior Financial Analyst,8,90000
47,Female,Master's,Director of Marketing,20,180000
30,Male,Bachelor's,Junior Business Analyst,2,40000
38,Female,Bachelor's,Senior Project Manager,9,120000
46,Male,PhD,Senior Data Analyst,17,160000
34,Female,Bachelor's,Junior Financial Analyst,5,70000
36,Male,Bachelor's,Senior Product Manager,8,95000
49,Female,Master's,Director of Operations,21,180000
31,Male,Bachelor's,Junior Operations Analyst,3,50000
41,Female,Bachelor's,Senior Project Coordinator,11,95000
47,Male,Master's,Director of Marketing,19,170000
29,Female,Bachelor's,Junior Business Development Associate,2,35000
35,Male,Bachelor's,Senior Financial Manager,9,100000
44,Female,PhD,Senior Product Designer,15,150000
33,Male,Bachelor's,Junior Business Analyst,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
44,Male,Bachelor's,Senior Software Engineer,13,130000
32,Male,Bachelor's,Junior Product Manager,4,65000
38,Female,Bachelor's,Senior Business Analyst,10,110000
49,Male,PhD,Director of Operations,21,180000
29,Female,Bachelor's,Junior Marketing Specialist,2,40000
35,Male,Bachelor's,Senior Business Development Manager,7,90000
45,Female,Master's,Senior HR Manager,14,140000
33,Male,Bachelor's,Junior Financial Analyst,4,60000
40,Female,Bachelor's,Senior Marketing Manager,12,130000
44,Male,PhD,Senior Data Scientist,16,160000
30,Female,Bachelor's,Junior Operations Coordinator,2,40000
37,Male,Bachelor's,Senior Marketing Analyst,9,100000
48,Female,Master's,Director of HR,20,180000
31,Male,Bachelor's,Junior Project Manager,3,55000
38,Female,Bachelor's,Senior Operations Coordinator,9,120000
45,Male,PhD,Senior Data Engineer,16,150000
33,Female,Bachelor's,Junior Marketing Manager,5,70000
36,Male,Bachelor's,Senior Business Analyst,8,95000
49,Female,Master's,Director of Marketing,21,180000
31,Male,Bachelor's,Junior Operations Analyst,3,50000
42,Female,Bachelor's,Senior Project Manager,12,120000
47,Male,Master's,Director of Marketing,19,170000
29,Female,Bachelor's,Junior Business Development Associate,2,35000
35,Male,Bachelor's,Senior Financial Manager,9,100000
44,Female,PhD,Senior Product Designer,15,150000
33,Male,Bachelor's,Junior Business Analyst,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
44,Male,Bachelor's,Senior Software Engineer,13,130000
34,Female,Master's,Senior Financial Advisor,6,80000
36,Male,Bachelor's,Senior Marketing Specialist,8,95000
30,Female,Bachelor's,Junior HR Coordinator,2,40000
37,Male,Bachelor's,Senior Business Development Manager,10,120000
45,Female,Master's,Senior Marketing Manager,16,160000
32,Male,Bachelor's,Junior Financial Advisor,4,65000
39,Female,Bachelor's,Senior Project Manager,12,130000
47,Male,PhD,Director of Engineering,20,180000
29,Female,Bachelor's,Junior Marketing Analyst,2,40000
36,Male,Bachelor's,Senior Operations Manager,9,100000
43,Female,PhD,Senior Data Scientist,15,150000
32,Male,Bachelor's,Junior Marketing Coordinator,3,55000
38,Female,Bachelor's,Senior Business Analyst,10,110000
48,Male,Master's,Director of Marketing,21,180000
31,Female,Bachelor's,Junior Business Development Associate,3,50000
40,Male,Bachelor's,Senior Financial Analyst,12,130000
45,Female,PhD,Senior UX Designer,16,160000
33,Male,Bachelor's,Junior Product Manager,4,60000
36,Female,Bachelor's,Senior Marketing Manager,8,95000
47,Male,Master's,Director of Operations,19,170000
29,Female,Bachelor's,Junior Project Manager,2,40000
34,Male,Bachelor's,Senior Operations Coordinator,7,90000
44,Female,PhD,Senior Business Analyst,15,150000
33,Male,Bachelor's,Junior Marketing Specialist,5,70000
35,Female,Bachelor's,Senior Financial Manager,8,90000
43,Male,Master's,Director of Marketing,18,170000
31,Female,Bachelor's,Junior Financial Analyst,3,50000
41,Male,Bachelor's,Senior Product Manager,14,150000
44,Female,PhD,Senior Data Engineer,16,160000
33,Male,Bachelor's,Junior Business Analyst,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
45,Male,Master's,Director of Engineering,19,180000
28,Female,Bachelor's,Junior Operations Manager,1,35000
36,Male,Bachelor's,Senior Business Development Manager,8,110000
44,Female,PhD,Senior Data Scientist,16,160000
31,Male,Bachelor's,Junior Marketing Coordinator,3,55000
38,Female,Bachelor's,Senior Business Analyst,10,110000
48,Male,Master's,Director of Marketing,21,180000
31,Female,Bachelor's,Junior Business Development Associate,3,50000
40,Male,Bachelor's,Senior Financial Analyst,12,130000
45,Female,PhD,Senior UX Designer,16,160000
33,Male,Bachelor's,Junior Product Manager,4,60000
36,Female,Bachelor's,Senior Marketing Manager,8,95000
47,Male,Master's,Director of Operations,19,170000
29,Female,Bachelor's,Junior Project Manager,2,40000
34,Male,Bachelor's,Senior Operations Coordinator,7,90000
44,Female,PhD,Senior Business Analyst,15,150000
33,Male,Bachelor's,Junior Marketing Specialist,5,70000
35,Female,Bachelor's,Senior Financial Manager,8,90000
43,Male,Master's,Director of Marketing,18,170000
31,Female,Bachelor's,Junior Financial Analyst,3,50000
41,Male,Bachelor's,Senior Product Manager,14,150000
44,Female,PhD,Senior Data Engineer,16,160000
33,Male,Bachelor's,Junior Business Analyst,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
43,Male,Master's,Director of Operations,19,170000
29,Female,Bachelor's,Junior Project Manager,2,40000
34,Male,Bachelor's,Senior Operations Coordinator,7,90000
44,Female,PhD,Senior Business Analyst,15,150000
35,Female,Bachelor's,Director,9,95828
59,Male,Master's,Director,24,187225
45,Male,Master's,Director,18,160236
60,Male,Master's,Director,15,135001
38,Male,PhD,Software Engineer,4,54744
23,Male,PhD,Director,4,51618
33,Female,Bachelor's,Sales Associate,1,34733
47,Male,Bachelor's,Senior Manager,22,182149
57,Male,Bachelor's,Software Engineer,15,132961
45,Female,Master's,Director,18,162258
40,Female,Bachelor's,Director,1,34995
25,Female,Bachelor's,Director,24,187352
28,Male,PhD,Senior Manager,21,168840
24,Female,Bachelor's,Data Analyst,5,58196
49,Male,PhD,Senior Manager,5,60828
54,Male,Master's,Senior Manager,5,73067
28,Male,PhD,Sales Associate,8,93752
34,Female,Master's,Sales Associate,13,131839
40,Female,Master's,Sales Associate,11,111141
27,Female,Bachelor's,Data Analyst,7,82344
38,Female,Bachelor's,Software Engineer,15,138520
59,Male,Bachelor's,Senior Manager,3,57726
49,Male,Bachelor's,Sales Associate,7,83318
28,Female,Bachelor's,Senior Manager,9,92735
26,Male,Bachelor's,Director,11,111870
39,Male,Master's,Software Engineer,20,158144
60,Male,PhD,Senior Manager,5,69350
52,Male,Master's,Sales Associate,13,117501
33,Male,PhD,Data Analyst,15,137745
23,Male,Master's,Sales Associate,1,31561
38,Male,Master's,Director,15,136507
28,Female,PhD,Director,4,62271
29,Male,Master's,Senior Manager,2,39793
28,Male,Bachelor's,Sales Associate,24,191725
49,Male,PhD,Director,24,193083
23,Male,Bachelor's,Senior Manager,20,166254
43,Male,Master's,Director,8,82703
51,Male,PhD,Data Analyst,2,43656
28,Male,PhD,Director,17,145465
56,Female,PhD,Sales Associate,11,119991
25,Female,Master's,Senior Manager,3,48507
48,Male,Bachelor's,Sales Associate,12,124313
29,Male,Bachelor's,Senior Manager,1,35401
53,Male,Master's,Sales Associate,23,181199
44,Female,Bachelor's,Director,6,78291
44,Female,Bachelor's,Senior Manager,17,147361
35,Male,Master's,Data Analyst,8,78142
33,Male,Master's,Director,13,122629
40,Male,Master's,Sales Associate,14,127463
51,Male,Bachelor's,Sales Associate,5,61952
28,Male,Bachelor's,Software Engineer,24,180775
53,Male,PhD,Software Engineer,19,161743
40,Female,Bachelor's,Software Engineer,23,195286
39,Male,PhD,Software Engineer,22,183670
23,Female,Bachelor's,Senior Manager,15,130520
27,Female,PhD,Software Engineer,23,189213
38,Male,PhD,Director,2,39647
59,Male,Master's,Software Engineer,5,67030
32,Male,PhD,Data Analyst,1,38107
22,Female,PhD,Director,8,87540
39,Male,PhD,Sales Associate,10,105797
23,Female,PhD,Senior Manager,7,83387
35,Male,PhD,Software Engineer,21,167484
35,Female,Master's,Senior Manager,9,93518
22,Female,PhD,Data Analyst,7,77081
52,Female,PhD,Sales Associate,14,123902
57,Female,PhD,Data Analyst,4,58526
60,Female,Master's,Sales Associate,20,167376
41,Female,Master's,Director,2,47616
34,Male,Bachelor's,Director,25,185859
49,Male,Bachelor's,Software Engineer,19,164349
50,Male,Bachelor's,Software Engineer,5,70353
36,Male,PhD,Director,0,29357
43,Female,PhD,Data Analyst,20,162592
53,Female,PhD,Senior Manager,18,147752
29,Female,Bachelor's,Sales Associate,18,160952
23,Female,PhD,Sales Associate,19,160158
43,Female,PhD,Senior Manager,2,38472
47,Female,PhD,Data Analyst,9,93577
44,Female,PhD,Sales Associate,3,49208
45,Male,Master's,Director,22,182296
37,Male,Bachelor's,Director,16,131139
47,Female,Bachelor's,Senior Manager,8,93250
24,Female,Master's,Software Engineer,2,47624
28,Female,PhD,Sales Associate,8,91527
39,Male,PhD,Software Engineer,8,100968
58,Male,PhD,Sales Associate,18,154214
46,Male,Bachelor's,Sales Associate,16,146599
36,Male,Master's,Software Engineer,22,179400
39,Male,Master's,Director,12,112381
54,Male,Master's,Senior Manager,3,40091
43,Female,PhD,Senior Manager,18,151664
24,Male,PhD,Senior Manager,19,166568
38,Male,PhD,Sales Associate,14,121247
37,Male,Bachelor's,Sales Associate,19,173266
56,Male,Bachelor's,Data Analyst,12,120670
34,Female,Bachelor's,Sales Associate,13,117934
24,Female,PhD,Data Analyst,11,108479
35,Male,PhD,Sales Associate,1,36241
24,Female,PhD,Software Engineer,3,46493
54,Female,Bachelor's,Senior Manager,1,30877
44,Male,PhD,Data Analyst,16,151827
40,Female,PhD,Senior Manager,8,85707
36,Male,Bachelor's,Senior Manager,13,120381
38,Male,Master's,Senior Manager,23,189344
52,Male,Master's,Sales Associate,6,75214
29,Male,PhD,Director,10,108190
25,Female,Bachelor's,Sales Associate,19,158092
43,Female,Master's,Senior Manager,6,68308
55,Male,Master's,Director,2,44847
43,Female,Master's,Senior Manager,7,78061
52,Female,Master's,Sales Associate,4,61171
56,Male,PhD,Software Engineer,23,181258
25,Female,Bachelor's,Director,20,170310
44,Female,Master's,Director,16,147653
54,Female,Master's,Senior Manager,22,167603
46,Female,Master's,Sales Associate,20,165607
44,Female,Master's,Senior Manager,5,54121
52,Male,Bachelor's,Software Engineer,22,179127
49,Female,Bachelor's,Software Engineer,13,127896
41,Female,Bachelor's,Software Engineer,20,166521
24,Female,Master's,Sales Associate,22,170393
45,Female,Bachelor's,Software Engineer,8,92556
30,Female,Master's,Data Analyst,3,42055
32,Female,Master's,Sales Associate,6,75815
48,Male,Bachelor's,Sales Associate,11,103527
39,Female,Master's,Senior Manager,20,165432
49,Male,Bachelor's,Director,22,176076
37,Male,PhD,Sales Associate,0,34466
55,Female,Master's,Senior Manager,13,131241
38,Female,Master's,Data Analyst,10,103535
41,Male,Bachelor's,Data Analyst,6,64046
27,Female,Master's,Sales Associate,3,52972
41,Male,PhD,Sales Associate,8,84873
31,Female,Master's,Director,24,191413
51,Female,PhD,Data Analyst,8,91212
49,Male,Bachelor's,Sales Associate,13,129578
23,Male,Bachelor's,Sales Associate,18,157676
41,Female,PhD,Sales Associate,9,96881
24,Female,PhD,Sales Associate,24,191848
44,Male,Bachelor's,Director,24,185969
56,Female,PhD,Sales Associate,6,71500
55,Male,Master's,Sales Associate,12,118995
31,Male,PhD,Sales Associate,8,79593
27,Male,Bachelor's,Software Engineer,7,80736
52,Male,Master's,Data Analyst,1,32723
43,Female,Bachelor's,Software Engineer,15,140626
38,Male,Master's,Senior Manager,13,120000
53,Male,PhD,Sales Associate,1,42926
32,Female,PhD,Senior Manager,7,79440
31,Female,Bachelor's,Senior Manager,23,176980
45,Female,PhD,Software Engineer,6,76532
32,Female,Bachelor's,Director,4,55413
38,Male,PhD,Data Analyst,12,116539
39,Male,Bachelor's,Senior Manager,25,191483
30,Male,PhD,Data Analyst,6,74189
24,Female,Bachelor's,Sales Associate,17,146245
51,Male,PhD,Sales Associate,19,163952
52,Female,Master's,Sales Associate,6,77131
45,Male,Master's,Data Analyst,18,154436
28,Female,Master's,Senior Manager,9,106915
40,Female,PhD,Director,16,138451
29,Female,PhD,Data Analyst,16,141588
55,Female,Master's,Director,13,117513
48,Female,PhD,Data Analyst,2,45009
23,Male,Bachelor's,Director,21,171304
22,Female,Master's,Director,8,88312
59,Male,Bachelor's,Software Engineer,5,68795
24,Male,PhD,Software Engineer,1,44240
55,Male,Bachelor's,Software Engineer,15,140190
58,Female,PhD,Sales Associate,17,147934
34,Female,Master's,Data Analyst,0,32038
43,Male,PhD,Data Analyst,13,129303
47,Female,Bachelor's,Director,6,66365
42,Female,Bachelor's,Data Analyst,16,147272
30,Male,Bachelor's,Senior Manager,4,57181
44,Male,Master's,Senior Manager,17,156249
32,Male,PhD,Software Engineer,10,99576
28,Male,Master's,Software Engineer,23,182433
41,Male,Master's,Senior Manager,3,51337
36,Male,Bachelor's,Director,9,89689
23,Male,Master's,Software Engineer,3,54778
58,Male,PhD,Director,23,191841
24,Male,Master's,Senior Manager,22,176406
56,Male,Master's,Data Analyst,6,72804
29,Male,PhD,Director,16,155837
27,Male,Bachelor's,Software Engineer,20,173762
25,Female,Bachelor's,Sales Associate,14,124951
38,Male,Bachelor's,Senior Manager,13,126408
44,Male,Bachelor's,Sales Associate,6,72148
56,Male,Master's,Senior Manager,2,39651
52,Female,Bachelor's,Data Analyst,22,179707
28,Male,Master's,Software Engineer,23,174859
28,Male,PhD,Sales Associate,16,139027
22,Male,PhD,Director,8,89887
48,Female,Bachelor's,Senior Manager,9,90933
23,Male,PhD,Sales Associate,18,160496
27,Male,Bachelor's,Software Engineer,22,183264
46,Male,PhD,Software Engineer,22,176616
28,Male,PhD,Senior Manager,19,165728
28,Male,Bachelor's,Data Analyst,16,149379
31,Female,Master's,Director,2,40187
37,Female,Bachelor's,Director,4,52643
22,Male,PhD,Software Engineer,22,176025
50,Female,Master's,Senior Manager,15,139041
51,Female,Bachelor's,Software Engineer,0,37032
36,Male,Bachelor's,Sales Associate,3,51936
52,Male,PhD,Sales Associate,17,152666
33,Male,Bachelor's,Sales Associate,0,20000
59,Male,Bachelor's,Senior Manager,4,54891
37,Male,PhD,Sales Associate,14,122175
47,Male,Bachelor's,Senior Manager,17,153476
34,Male,PhD,Sales Associate,16,143425
